fid,field_1,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,위도,경도,지하철수
"1","0",서울특별시 강남구 개포동,03월 13일,"13","3",대청타워,월세,31.91,"201801","15","500","70","20",1997,개포로 623,37.494341198165,127.079647753194,1
"2","1",서울특별시 강남구 개포동,03월 13일,"13","3",대청타워,월세,32.44,"201802","13","1,000","55","22",1997,개포로 623,37.494341198165,127.079647753194,1
"3","2",서울특별시 강남구 개포동,03월 13일,"13","3",대청타워,월세,31.91,"201809","12","1,000","60","10",1997,개포로 623,37.494341198165,127.079647753194,1
"4","3",서울특별시 강남구 개포동,03월 13일,"13","3",대청타워,월세,32.44,"201812","17","1,000","62","17",1997,개포로 623,37.494341198165,127.079647753194,1
"5","4",서울특별시 강남구 개포동,1236-4,"1236","4",디오빌,월세,25.72,"201801","20","2,000","45","3",2005,논현로18길 10-10,37.477252336419,127.046083840064,0
"6","5",서울특별시 강남구 개포동,1236-4,"1236","4",디오빌,월세,22.6,"201805","28","1,000","50","5",2005,논현로18길 10-10,37.477252336419,127.046083840064,0
"7","6",서울특별시 강남구 개포동,1236-4,"1236","4",디오빌,월세,25.72,"201807","11","2,000","58","5",2005,논현로18길 10-10,37.477252336419,127.046083840064,0
"8","7",서울특별시 강남구 개포동,1236-4,"1236","4",디오빌,월세,27.4,"201812","24","2,000","50","6",2005,논현로18길 10-10,37.477252336419,127.046083840064,0
"9","8",서울특별시 강남구 논현동,242-27,"242","27","	(242-27)	",월세,21.12,"201802","20","2,000","85","7",2003,선릉로129길 3-4,37.5161041468958,127.041071323525,2
"10","9",서울특별시 강남구 논현동,242-27,"242","27","	(242-27)	",월세,18.88,"201809","29","3,000","60","7",2003,선릉로129길 3-4,37.5161041468958,127.041071323525,2
"11","10",서울특별시 강남구 논현동,"96","96","0","	(96)	",월세,22.05,"201801","25","1,000","60","8",1987,도산대로46길 11,37.5212897930232,127.036652689515,0
"12","11",서울특별시 강남구 논현동,"96","96","0","	(96)	",월세,22.05,"201805","18","500","50","8",1987,도산대로46길 11,37.5212897930232,127.036652689515,0
"13","12",서울특별시 강남구 논현동,241-3,"241","3",강남구청역 에스케이 허브 블루,월세,69.32,"201802","24","3,000","210","15",2005,학동로 342,37.5167560126387,127.040841265738,2
"14","13",서울특별시 강남구 논현동,241-3,"241","3",강남구청역 에스케이 허브 블루,월세,34.57,"201804","10","10,000","70","6",2005,학동로 342,37.5167560126387,127.040841265738,2
"15","14",서울특별시 강남구 논현동,241-3,"241","3",강남구청역 에스케이 허브 블루,월세,38.75,"201807","17","1,000","120","5",2005,학동로 342,37.5167560126387,127.040841265738,2
"16","15",서울특별시 강남구 논현동,241-1,"241","1",강남파라곤,월세,75.94,"201801","20","5,000","210","8",2007,학동로 338,37.5165402749359,127.04016223452,2
"17","16",서울특별시 강남구 논현동,241-1,"241","1",강남파라곤,월세,75.94,"201810","25","8,000","190","13",2007,학동로 338,37.5165402749359,127.04016223452,2
