단지명,전용면적,보증금,월세,층,지하철역,지하철거리,500m음식점수,환율,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),금리,보증금고려월세
약수하이츠,114.92,60000.0,130,14,신금호역,358.1312622656157,4,1185.5,47,17,24,13,392.9343565790587,1.25,192.5
한진해모로,27.27,2150.0,5,7,상왕십리역,329.285131747168,1,1185.5,18,7,4,16,155.76315185597636,1.25,7.239583333333334
남산타운,84.87999999999998,5000.0,220,15,버티고개역,153.7732236879109,27,1190.8,30,13,28,6,38.78579684636771,1.25,225.20833333333331
서울역센트럴자이,84.9791,64000.0,100,9,충정로(경기대입구)역,546.5467807347819,101,1190.8,47,20,55,4,161.22384425777142,1.25,166.66666666666669
남산타운,59.94,5000.0,116,16,버티고개역,153.7732236879109,27,1194.3,30,13,28,6,38.78579684636771,1.25,121.20833333333331
더플레이스충정로,22.67,1000.0,76,2,충정로(경기대입구)역,169.5458754048524,129,1194.3,90,31,86,5,152.21828755716365,1.25,77.04166666666667
서제빌딩,21.45,1000.0,60,10,동대문역사문화공원역,356.66310340976054,272,1198.2,91,35,49,30,133.71080905767624,1.25,61.04166666666666
청계천두산위브더제니스,147.3212,6000.0,200,3,신당역,117.13990056099556,159,1198.2,42,14,17,30,190.9665407319669,1.25,206.25
삼성사이버빌리지,59.7,28000.0,72,17,충정로(경기대입구)역,86.42285253868776,90,1199.6,73,29,74,4,66.59799483216813,1.25,101.16666666666669
동대문와이즈캐슬,15.55,500.0,60,8,신당역,76.31378679879745,159,1199.6,52,17,26,31,102.6009616168716,1.25,60.520833333333336
남산타운,114.88,50000.0,59,6,버티고개역,153.7732236879109,27,1199.6,30,13,28,6,38.78579684636771,1.25,111.08333333333334
롯데캐슬,114.9,30000.0,129,28,신설동역,533.615752338311,40,1199.6,21,7,4,23,99.42774589932525,1.25,160.25
서울역한라비발디센트럴,71.9832,30000.0,93,6,서울역,376.5303456813306,89,1199.6,67,24,65,4,37.0031250698845,1.25,124.25
약수하이츠,84.87999999999998,5000.0,180,13,신금호역,358.1312622656157,4,1199.6,47,17,24,13,392.9343565790587,1.25,185.20833333333331
진양상가,71.93,5000.0,100,16,충무로역,197.7903468724876,213,1202.4,129,37,71,25,65.48284525938637,1.25,105.20833333333331
리하우스(LEEHAUS),43.056,10000.0,67,5,충정로(경기대입구)역,200.555682270846,159,1202.4,102,32,89,7,114.02735679071988,1.25,77.41666666666667
청구e편한세상,84.95,5000.0,265,5,청구역,148.0705761514984,96,1202.4,63,20,29,31,70.23484133934264,1.25,270.2083333333333
청구e편한세상,84.95,500.0,265,5,청구역,148.0705761514984,96,1202.4,63,20,29,31,70.23484133934264,1.25,265.5208333333333
약수하이츠,32.67,1058.0,14,7,신금호역,358.1312622656157,4,1202.4,47,17,24,13,392.9343565790587,1.25,15.102083333333333
약수하이츠,57.63,0.0,130,7,신금호역,358.1312622656157,4,1202.4,47,17,24,13,392.9343565790587,1.25,130.0
약수하이츠,32.67,423.0,15,7,신금호역,358.1312622656157,4,1202.4,47,17,24,13,392.9343565790587,1.25,15.440625
남산타운,84.87999999999998,50000.0,5,14,버티고개역,153.7732236879109,27,1202.4,30,13,28,6,38.78579684636771,1.25,57.083333333333336
남산타운,84.87999999999998,50000.0,5,14,버티고개역,153.7732236879109,27,1202.4,30,13,28,6,38.78579684636771,1.25,57.083333333333336
서울역센트럴자이(임대),39.9541,5077.0,15,-3,충정로(경기대입구)역,570.352209953056,100,1202.4,39,20,55,4,201.7103826031684,1.25,20.288541666666667
롯데캐슬,84.92,5000.0,200,27,신설동역,533.615752338311,40,1202.4,21,7,4,23,99.42774589932525,1.25,205.20833333333331
약수하이츠,32.67,1058.0,14,9,신금호역,358.1312622656157,4,1200.0,47,17,24,13,392.9343565790587,1.25,15.102083333333333
약수하이츠,32.67,2519.0,5,9,신금호역,358.1312622656157,4,1200.0,47,17,24,13,392.9343565790587,1.25,7.623958333333333
남산타운,59.94,42000.0,5,7,버티고개역,153.7732236879109,27,1200.0,30,13,28,6,38.78579684636771,1.25,48.75
삼정아트테라스정동,13.8874,3000.0,85,7,시청역,300.9137610337463,514,1200.0,143,42,101,11,230.68420809566103,1.25,88.125
서울역센트럴자이,84.97199999999998,50000.0,170,18,충정로(경기대입구)역,546.5467807347819,101,1200.0,47,20,55,4,161.22384425777142,1.25,222.08333333333331
동대문솔하임,19.6,1000.0,90,17,신당역,174.3397765958725,165,1200.0,42,14,17,30,87.4723582497348,1.25,91.04166666666669
약수하이츠,57.63,33000.0,25,19,신금호역,358.1312622656157,4,1195.2,47,17,24,13,392.9343565790587,1.25,59.375
남산타운,84.87999999999998,10000.0,143,11,버티고개역,153.7732236879109,27,1195.2,30,13,28,6,38.78579684636771,1.25,153.41666666666666
진양상가,71.93,2000.0,100,5,충무로역,197.7903468724876,213,1195.2,129,37,71,25,65.48284525938637,1.25,102.08333333333331
청구e편한세상,84.95999999999998,10000.0,250,6,청구역,148.0705761514984,96,1195.2,63,20,29,31,70.23484133934264,1.25,260.4166666666667
충무로헤센스마트,21.04,1000.0,80,3,충무로역,399.4739356787322,226,1195.2,117,36,52,32,166.95499565803877,1.25,81.04166666666667
충무로헤센스마트,21.04,1000.0,80,3,충무로역,399.4739356787322,226,1195.2,117,36,52,32,166.95499565803877,1.25,81.04166666666667
남산타운,84.87999999999998,20000.0,180,1,버티고개역,153.7732236879109,27,1189.9,30,13,28,6,38.78579684636771,1.25,200.83333333333331
(340-127),16.64,5000.0,25,4,약수역,208.5619824879092,95,1189.9,62,20,30,29,97.74350362675004,1.25,30.20833333333333
리하우스(LEEHAUS),43.056,10000.0,67,3,충정로(경기대입구)역,200.555682270846,159,1189.9,102,32,89,7,114.02735679071988,1.25,77.41666666666667
서울역센트럴자이,59.9707,20000.0,240,10,충정로(경기대입구)역,546.5467807347819,101,1189.9,47,20,55,4,161.22384425777142,1.25,260.8333333333333
롯데캐슬,84.9,5000.0,178,10,신설동역,533.615752338311,40,1188.2,21,7,4,23,99.42774589932525,1.25,183.20833333333331
신당파인힐하나유보라,24.3931,1000.0,71,11,상왕십리역,413.01287042336577,8,1188.2,18,7,4,22,17.8702147977542,1.25,72.04166666666667
쌍용남산플래티넘,139.8,50000.0,230,21,명동역,325.43124752086374,395,1188.2,175,51,123,11,53.1320517975455,1.25,282.0833333333333
진양상가,71.93,3000.0,93,10,충무로역,197.7903468724876,213,1188.2,129,37,71,25,65.48284525938637,1.25,96.125
남산롯데캐슬아이리스,113.46,20000.0,330,12,회현(남대문시장)역,310.7749620679906,333,1188.2,163,48,118,11,85.65990388873333,1.25,350.8333333333333
남산타운,84.87999999999998,10000.0,195,2,버티고개역,153.7732236879109,27,1188.2,30,13,28,6,38.78579684636771,1.25,205.41666666666663
더플레이스충정로,17.68,1000.0,68,5,충정로(경기대입구)역,169.5458754048524,129,1188.2,90,31,86,5,152.21828755716365,1.25,69.04166666666667
LIG서울역리가,84.9846,50000.0,75,7,서울역,421.6932281404668,121,1188.2,74,30,74,4,168.61624434442572,1.25,127.08333333333334
약수하이츠,84.87999999999998,50000.0,70,5,신금호역,358.1312622656157,4,1188.2,47,17,24,13,392.9343565790587,1.25,122.08333333333334
