단지명,전용면적,계약년도,계약일,위도,경도,지하철거리,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,일일가격,층_-1,층_1,층_2,층_3,층_4,층_5,층_6,층_7,층_8,층_9,층_10,층_11,층_12,층_13,층_14,층_15,층_16,층_17,층_18,층_19,층_20,층_21,층_22,층_23,층_24,층_25,층_26,층_27,층_28,층_29,층_30,층_31,층_32,층_33,층_34,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
현대,79.11,2022-03-01,28,37.560504309545294,127.02297053804,642.5304144954268,2022/03/28,1218.3,3,0,1,0,27,9,13,16,145.0156737035655,금호베스트빌.래미안하이베르,8.680555555555555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
래미안하이베르,59.95,2022-09-01,2,37.5610379790132,127.020985832433,524.9534945478343,2022/09/02,1351.4,7,0,1,0,44,15,23,27,264.0077328980435,동화동,33.541666666666664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남산롯데캐슬아이리스,103.49,2022-05-01,27,37.5582247092319,126.981744459746,310.7749620679906,2022/05/27,1266.4,27,7,12,5,163,48,118,11,85.65990388873333,남산3호터널,75.24305555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
쌍용남산플래티넘,166.24,2022-05-01,6,37.5594119017486,126.983219915695,325.43124752086374,2022/05/06,1261.8,43,5,10,3,175,51,123,11,53.1320517975455,남산3호터널.서울애니메이션센터,53.99305555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충무,67.77,2022-01-01,27,37.5607315198784,127.000855311471,458.9527599183493,2022/01/27,1197.0,16,9,15,5,107,37,58,32,159.18949873299243,앰버서더호텔,15.069444444444448,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울역센트럴자이,59.9707,2022-01-01,13,37.5547800420518,126.964458224138,546.5467807347819,2022/01/13,1189.9,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,43.47222222222222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
청구e편한세상,84.95999999999998,2022-02-01,11,37.5599601596254,127.015451019186,148.0705761514984,2022/02/11,1196.0,4,1,1,0,63,20,29,31,70.23484133934264,청구역,23.350694444444443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
노블레스2,84.93,2022-06-01,7,37.549630663217,127.005273694994,238.7738491675192,2022/06/07,1241.1,10,2,0,1,35,14,37,6,199.08089827563205,송도병원앞,28.194444444444443,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운(임대),32.76,2022-01-01,17,37.5471667734011,127.005677166122,153.7732236879109,2022/01/17,1187.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,1.5130208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
신당푸르지오,145.1,2022-09-01,19,37.559864671246096,127.019034279491,453.60316695705785,2022/09/19,1394.2,2,0,1,0,55,15,24,29,62.12000897583936,동화동,38.47222222222222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
