단지명,전용면적,일일가격,위도,경도,지하철거리,환율,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,소비자물가지수,종합주가지수,주택담보대출금리,지하철역_을지로3가역,지하철역_동대문역사문화공원역,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
WECOSTAY Myeongdong B,26.0,9.375,37.563297,126.998434,370.075977,1304.4,127.6771989,퇴계로5가,60,20,34,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
urbanstay : 명동역 5분거리 / 힙지로 #취사가능,26.0,12.126,37.563184,126.99324,208.0895131,1304.4,21.25497897,초동,80,24,39,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"[쉼,]고층 편안한 숙소",26.0,9.5437,37.564704,126.993192,221.5458841,1304.4,150.8769952,초동,79,21,31,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체1,26.0,12.126,37.564046,126.992536,261.5816682,1304.4,92.86094232,초동,80,25,35,9,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체2,26.0,12.126,37.564326,126.992977,247.1870755,1304.4,109.4084818,초동,79,24,35,9,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay 님이 호스팅하는 레지던스 전체,26.0,9.6509,37.565788,126.992372,82.89842044,1304.4,82.99888117,을지로3가,82,21,30,10,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울의 중심 풀옵션 레지던스 #19,26.0,9.8823,37.562303,126.992597,162.3929121,1304.4,97.55297747,충무로역.매일경제,81,25,40,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"명동뷰, 넷플릭스 복층 3인, 남산케이블카 3분거리, 루프탑 바베큐, 2021년 리모델링",36.0,11.3922,37.556446,126.985766,506.6324352,1304.4,241.3528364,남산케이블카,71,24,45,6,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urbanstay : 서울살이 로망을 실현해보세요 #취사가능 #long-termSTAY,26.0,12.126,37.563177,126.993249,207.0823218,1304.4,22.33750486,초동,80,24,39,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[UH SUITE]#더명동#객실 내 풀스파#명동역 도보 1분(넷플릭스 가능)#C,44.0,37.7003,37.561139,126.988221,168.3432538,1304.4,144.6939894,명동역.세종호텔,110,30,59,8,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
