단지명,전용면�,계약년�,계약일,보증금(,월세(만,층,위도,경도,지하철�,지하철�_1,500m내음,계약날�,환율,500M맛집,500M문화공간,500M문화재,500M쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑
약수하이츠,114.920000000000002,"202201","3",60000.000000000000000,"130","14",37.555191599093398,127.016359379416997,신금호역,358.131262265615703,"4",2022/01/03,1185.500000000000000,7,3,9,0,47,17,24,13
한진해모로,27.270000000000000,"202201","3",2150.000000000000000,"5","7",37.563728411463899,127.025710739466007,상왕십리역,329.285131747168009,"1",2022/01/03,1185.500000000000000,3,0,0,0,18,7,4,16
남산타운,84.879999999999981,"202201","4",5000.000000000000000,"220","15",37.547166773401102,127.005677166121998,버티고개역,153.773223687910900,"27",2022/01/04,1190.799999999999955,10,1,0,1,30,13,28,6
서울역센트럴자이,84.979100000000003,"202201","4",64000.000000000000000,"100","9",37.554780042051803,126.964458224137999,충정로(경기대입구)역,546.546780734781919,"101",2022/01/04,1190.799999999999955,1,2,4,0,47,20,55,4
남산타운,59.939999999999998,"202201","5",5000.000000000000000,"116","16",37.547166773401102,127.005677166121998,버티고개역,153.773223687910900,"27",2022/01/05,1194.299999999999955,10,1,0,1,30,13,28,6
더플레이스충정로,22.670000000000002,"202201","5",1000.000000000000000,"76","2",37.558980785320998,126.966068233100998,충정로(경기대입구)역,169.545875404852410,"129",2022/01/05,1194.299999999999955,10,4,16,0,90,31,86,5
서제빌딩,21.449999999999999,"202201","6",1000.000000000000000,"60","10",37.564389921895902,127.001330851402997,동대문역사문화공원역,356.663103409760538,"272",2022/01/06,1198.200000000000045,25,4,8,3,91,35,49,30
청계천두산위브더제니스,147.321200000000005,"202201","6",6000.000000000000000,"200","3",37.566867598217698,127.017122913186000,신당역,117.139900560995557,"159",2022/01/06,1198.200000000000045,12,5,1,10,42,14,17,30
삼성사이버빌리지,59.700000000000003,"202201","7",28000.000000000000000,"72","17",37.558926660897903,126.964320892996994,충정로(경기대입구)역,86.422852538687764,"90",2022/01/07,1199.599999999999909,10,4,13,0,73,29,74,4
동대문와이즈캐슬,15.550000000000001,"202201","7",500.000000000000000,"60","8",37.565753658195199,127.015443726545001,신당역,76.313786798797452,"159",2022/01/07,1199.599999999999909,9,5,0,11,52,17,26,31
쌍용남산플래티넘,158.969999999999999,"202201","7",0.000000000000000,"730","8",37.559411901748597,126.983219915695003,명동역,325.431247520863735,"395",2022/01/07,1199.599999999999909,43,5,10,3,175,51,123,11
남산타운,114.879999999999995,"202201","8",50000.000000000000000,"59","6",37.547166773401102,127.005677166121998,버티고개역,153.773223687910900,"27",2022/01/08,1199.599999999999909,10,1,0,1,30,13,28,6
롯데캐슬,114.900000000000006,"202201","8",30000.000000000000000,"129","28",37.570810546469922,127.021463886655994,신설동역,533.615752338311040,"40",2022/01/08,1199.599999999999909,3,1,1,3,21,7,4,23
서울역한라비발디센트럴,71.983199999999997,"202201","8",30000.000000000000000,"93","6",37.554573582865707,126.965847056195997,서울역,376.530345681330573,"89",2022/01/08,1199.599999999999909,2,2,5,0,67,24,65,4
약수하이츠,84.879999999999981,"202201","8",5000.000000000000000,"180","13",37.555191599093398,127.016359379416997,신금호역,358.131262265615703,"4",2022/01/08,1199.599999999999909,7,3,9,0,47,17,24,13
