전용면적,보증금,월세,층,지하철역,지하철거리,500m음식점수,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),보증금고려월세
114.92,60000.0,130,14,신금호역,358.1312622656157,4,1185.5,7,3,9,0,47,17,24,13,392.9343565790587,192.5
27.27,2150.0,5,7,상왕십리역,329.285131747168,1,1185.5,3,0,0,0,18,7,4,16,155.76315185597636,7.239583333333334
84.87999999999998,5000.0,220,15,버티고개역,153.7732236879109,27,1190.8,10,1,0,1,30,13,28,6,38.78579684636771,225.20833333333334
84.9791,64000.0,100,9,충정로(경기대입구)역,546.5467807347819,101,1190.8,1,2,4,0,47,20,55,4,161.22384425777142,166.66666666666669
59.94,5000.0,116,16,버티고개역,153.7732236879109,27,1194.3,10,1,0,1,30,13,28,6,38.78579684636771,121.20833333333333
22.67,1000.0,76,2,충정로(경기대입구)역,169.5458754048524,129,1194.3,10,4,16,0,90,31,86,5,152.21828755716365,77.04166666666667
21.45,1000.0,60,10,동대문역사문화공원역,356.66310340976054,272,1198.2,25,4,8,3,91,35,49,30,133.71080905767624,61.041666666666664
147.3212,6000.0,200,3,신당역,117.13990056099556,159,1198.2,12,5,1,10,42,14,17,30,190.9665407319669,206.25
59.7,28000.0,72,17,충정로(경기대입구)역,86.42285253868776,90,1199.6,10,4,13,0,73,29,74,4,66.59799483216813,101.16666666666667
15.55,500.0,60,8,신당역,76.31378679879745,159,1199.6,9,5,0,11,52,17,26,31,102.6009616168716,60.520833333333336
158.97,0.0,730,8,명동역,325.43124752086374,395,1199.6,43,5,10,3,175,51,123,11,53.1320517975455,730.0
114.88,50000.0,59,6,버티고개역,153.7732236879109,27,1199.6,10,1,0,1,30,13,28,6,38.78579684636771,111.08333333333334
114.9,30000.0,129,28,신설동역,533.615752338311,40,1199.6,3,1,1,3,21,7,4,23,99.42774589932525,160.25
71.9832,30000.0,93,6,서울역,376.5303456813306,89,1199.6,2,2,5,0,67,24,65,4,37.0031250698845,124.25
84.87999999999998,5000.0,180,13,신금호역,358.1312622656157,4,1199.6,7,3,9,0,47,17,24,13,392.9343565790587,185.20833333333334
71.93,5000.0,100,16,충무로역,197.7903468724876,213,1202.4,22,6,12,1,129,37,71,25,65.48284525938637,105.20833333333333
43.056,10000.0,67,5,충정로(경기대입구)역,200.555682270846,159,1202.4,10,3,15,0,102,32,89,7,114.02735679071988,77.41666666666667
84.95,5000.0,265,5,청구역,148.0705761514984,96,1202.4,4,1,1,0,63,20,29,31,70.23484133934264,270.2083333333333
84.95,500.0,265,5,청구역,148.0705761514984,96,1202.4,4,1,1,0,63,20,29,31,70.23484133934264,265.5208333333333
32.67,1058.0,14,7,신금호역,358.1312622656157,4,1202.4,7,3,9,0,47,17,24,13,392.9343565790587,15.102083333333333
57.63,0.0,130,7,신금호역,358.1312622656157,4,1202.4,7,3,9,0,47,17,24,13,392.9343565790587,130.0
32.67,423.0,15,7,신금호역,358.1312622656157,4,1202.4,7,3,9,0,47,17,24,13,392.9343565790587,15.440625
84.87999999999998,50000.0,5,14,버티고개역,153.7732236879109,27,1202.4,10,1,0,1,30,13,28,6,38.78579684636771,57.083333333333336
84.87999999999998,50000.0,5,14,버티고개역,153.7732236879109,27,1202.4,10,1,0,1,30,13,28,6,38.78579684636771,57.083333333333336
39.9541,5077.0,15,-3,충정로(경기대입구)역,570.352209953056,100,1202.4,1,2,3,0,39,20,55,4,201.7103826031684,20.288541666666667
84.92,5000.0,200,27,신설동역,533.615752338311,40,1202.4,3,1,1,3,21,7,4,23,99.42774589932525,205.20833333333334
116.11,20000.0,450,24,서울역,300.40511873242406,54,1202.4,8,5,9,0,115,37,95,8,83.49973589710727,470.8333333333333
32.67,1058.0,14,9,신금호역,358.1312622656157,4,1200.0,7,3,9,0,47,17,24,13,392.9343565790587,15.102083333333333
32.67,2519.0,5,9,신금호역,358.1312622656157,4,1200.0,7,3,9,0,47,17,24,13,392.9343565790587,7.623958333333333
59.94,42000.0,5,7,버티고개역,153.7732236879109,27,1200.0,10,1,0,1,30,13,28,6,38.78579684636771,48.75
13.8874,3000.0,85,7,시청역,300.9137610337463,514,1200.0,33,13,37,1,143,42,101,11,230.68420809566103,88.125
84.97199999999998,50000.0,170,18,충정로(경기대입구)역,546.5467807347819,101,1200.0,1,2,4,0,47,20,55,4,161.22384425777142,222.08333333333334
19.6,1000.0,90,17,신당역,174.3397765958725,165,1200.0,8,4,1,11,42,14,17,30,87.4723582497348,91.04166666666667
57.63,33000.0,25,19,신금호역,358.1312622656157,4,1195.2,7,3,9,0,47,17,24,13,392.9343565790587,59.375
84.87999999999998,10000.0,143,11,버티고개역,153.7732236879109,27,1195.2,10,1,0,1,30,13,28,6,38.78579684636771,153.41666666666666
71.93,2000.0,100,5,충무로역,197.7903468724876,213,1195.2,22,6,12,1,129,37,71,25,65.48284525938637,102.08333333333333
84.95999999999998,10000.0,250,6,청구역,148.0705761514984,96,1195.2,4,1,1,0,63,20,29,31,70.23484133934264,260.4166666666667
21.04,1000.0,80,3,충무로역,399.4739356787322,226,1195.2,17,7,15,1,117,36,52,32,166.95499565803877,81.04166666666667
21.04,1000.0,80,3,충무로역,399.4739356787322,226,1195.2,17,7,15,1,117,36,52,32,166.95499565803877,81.04166666666667
122.31,15000.0,400,5,버티고개역,238.7738491675192,40,1189.9,10,2,0,1,35,14,37,6,199.08089827563205,415.625
84.87999999999998,20000.0,180,1,버티고개역,153.7732236879109,27,1189.9,10,1,0,1,30,13,28,6,38.78579684636771,200.83333333333334
16.64,5000.0,25,4,약수역,208.5619824879092,95,1189.9,10,3,9,0,62,20,30,29,97.74350362675004,30.208333333333332
43.056,10000.0,67,3,충정로(경기대입구)역,200.555682270846,159,1189.9,10,3,15,0,102,32,89,7,114.02735679071988,77.41666666666667
