정류장번호,정류장명,정류장_위도,정류장_경도
SEB100000001,종로2가사거리,37.5697651,126.9877498
SEB100000002,창경궁.서울대학교병원,37.579183,126.996566
SEB100000003,명륜3가.성대입구,37.5826711,126.9983401
SEB100000004,종로2가.삼일교,37.5685792,126.987613
SEB100000005,혜화동로터리.여운형활동터,37.586243,127.001744
SEB100000006,경기상고,37.5875502,126.9693634
SEB100000007,신교동,37.5832955,126.9702626
SEB100000008,경기상고,37.5871907,126.9697701
SEB100000009,경복고교,37.5851131,126.9710436
SEB100000010,청운중학교,37.5878519,126.9725135
SEB100000011,자하문고개.윤동주문학관,37.5921866,126.9671261
SEB100000012,자하문고개.윤동주문학관,37.5923353,126.9671906
SEB100000013,청운중학교,37.5881285,126.9724613
SEB100000014,경복고교,37.5849663,126.9711546
SEB100000015,통인시장종로구보건소,37.5803257,126.97105
SEB100000016,통인시장종로구보건소,37.5805132,126.9713851
SEB100000017,효자동,37.583091,126.9706209
SEB100000018,사직단.어린이도서관,37.5751355,126.9679907
SEB100000019,사직동주민센터,37.5761834,126.9713244
SEB100000020,경복궁역,37.5768666,126.972196
SEB100000021,경복궁역,37.5776713,126.9722828
SEB100000022,경복궁,37.5755767,126.9787471
SEB100000023,KT광화문지사,37.5722264,126.977332
SEB100000025,광화문,37.5698453,126.9763838
SEB100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248
SEB100000029,광화문.금호아시아나본관앞,37.570288,126.9731335
SEB100000030,광화문,37.570365,126.975837
SEB100000031,세종문화회관,37.57359,126.9768571
SEB100000032,서울경찰청.경복궁역,37.5757446,126.9714842
SEB100000033,사직단,37.5748553,126.9681889
SEB100000034,광화문.광화문빌딩,37.5696876,126.9766885
SEB100000035,덕성여중고,37.5759017,126.982017
SEB100000036,안국역.서울공예박물관,37.5760695,126.9839957
SEB100000037,국민은행세검정지점,37.6046629,126.960888
SEB100000038,세검정초등학교,37.6025022,126.9612198
SEB100000039,세검정.상명대,37.6007325,126.9587223
SEB100000040,상명대입구.석파랑,37.5994133,126.9585702
SEB100000041,하림각,37.598133,126.9617068
SEB100000042,자하문터널입구.석파정,37.5955935,126.9636434
SEB100000043,부암동주민센터.무계원,37.592738,126.9639574
SEB100000044,부암동주민센터.무계원,37.5927861,126.9651419
SEB100000045,자하문터널입구.석파정,37.5955575,126.9639775
SEB100000046,하림각,37.5981476,126.9622153
SEB100000047,상명대입구.세검정교회,37.5996163,126.9592405
SEB100000048,세검정.상명대,37.6005524,126.9589342
SEB100000049,세검정초등학교,37.602268,126.9614328
SEB100000051,국민은행세검정지점,37.6047191,126.9612088
SEB100000053,승가사입구,37.6115844,126.9563059
SEB100000054,구기동현대빌라,37.6100355,126.9564575
SEB100000055,구기터널.삼성출판박물관,37.6086098,126.9562103
SEB100000056,구기터널.삼성출판박물관,37.6083054,126.9564166
SEB100000057,구기동,37.6069644,126.9585297
SEB100000058,구기동,37.6070088,126.9591017
SEB100000059,승가사입구,37.61148,126.956482
SEB100000060,갑을씨티텔앞,37.6043709,126.963535
SEB100000061,평창파출소,37.6053223,126.9660432
SEB100000062,평창동주민센터,37.6066073,126.9695663
SEB100000063,일성아파트,37.6087663,126.9729985
SEB100000064,롯데아파트,37.6104295,126.9764662
SEB100000065,롯데아파트,37.610248,126.976652
SEB100000066,벽산평창힐스아파트,37.60819,126.972797
SEB100000067,예능교회,37.606517,126.97
SEB100000068,서울예술고등학교.평창동주민센터,37.6057787,126.9676276
SEB100000069,화정박물관,37.6045038,126.9648102
SEB100000072,독립문역.서대문형무소역사관,37.5732126,126.9594644
SEB100000073,서대문.서울시교육청,37.5682538,126.9645273
SEB100000075,독립문,37.5711733,126.9615632
SEB100000076,창덕궁.서울돈화문국악당,37.5775405,126.9885394
SEB100000077,서린동.SK서린빌딩,37.5692423,126.9802681
SEB100000078,청계1가.광교,37.5686843,126.9849267
SEB100000079,청계2가.수표교,37.5684977,126.990644
SEB100000080,청계4가.세운교,37.5689116,126.9964597
SEB100000081,청계5가.광장시장,37.5694512,126.9997973
SEB100000102,원남동,37.5745325,126.9973383
SEB100000103,창덕궁.우리소리박물관,37.5772728,126.9886349
SEB100000104,안국역.인사동,37.5757849,126.9842425
SEB100000105,조계사.종로경찰서,37.5725223,126.9831555
SEB100000106,조계사.종로경찰서,37.5724858,126.9828258
SEB100000107,안국동,37.5746105,126.9827201
SEB100000108,종로5가.효제동.김상옥의거터,37.5745,127.00223
SEB100000109,종로5가.효제초등학교,37.572879,127.0021442
SEB100000116,종로5가,37.5705596,127.0021826
SEB100000117,청계6가.동대문시장,37.5698351,127.0028494
SEB100000118,동대문,37.5717262,127.0084126
SEB100000119,충신동,37.5740223,127.0062788
SEB100000121,충신동,37.5744602,127.0063433
SEB100000122,현대그룹빌딩,37.575873,127.000533
SEB100000123,방송통신대.이화장,37.578043,127.002437
SEB100000124,혜화역.마로니에공원,37.5811194,127.0022769
SEB100000125,혜화역.서울대병원입구,37.5810636,127.0019395
SEB100000126,방송통신대.이화장,37.5781296,127.0019937
SEB100000127,이화동(이화장),37.5761193,127.0006951
SEB100000128,창경궁.서울대학교병원,37.5788279,126.9968717
SEB100000129,이화동(이화장),37.5759372,127.0032708
SEB100000130,혜화동로터리,37.5857646,127.0007246
SEB100000131,명륜동2가.성균관대입구,37.5833334,126.9993987
SEB100000132,혜화역.서울연극센터(장면총리가옥),37.5840228,127.0013281
SEB100000133,혜화역.동성중고(장면총리가옥),37.5845697,127.0017176
SEB100000135,종로구민회관.창신동두산아파트,37.5740926,127.0155555
SEB100000139,동묘역앞,37.5716849,127.0156014
SEB100000140,동묘역앞,37.5719221,127.015945
SEB100000142,창신3동주민센터,37.578413,127.015178
SEB100000143,숭인1동주민센터.창신역4번출구,37.578772,127.0155485
SEB100000144,동묘역.롯데캐슬천지인,37.57418,127.0158023
SEB100000147,신설동로터리,37.5759288,127.0227802
SEB100000150,구기동현대빌라,37.609682,126.956622
SEB100000151,광장시장,37.5694963,126.9977437
SEB100000153,혜화경찰서,37.5725807,126.9974787
SEB100000154,서울역사박물관.김구집무실(경교장),37.5699003,126.9721318
SEB100000155,청계3가.관수교,37.5686887,126.9937793
SEB100000156,청계6가.버들다리,37.5699303,127.0080377
SEB100000157,청계7가.맑은내다리,37.5699975,127.0129554
SEB100000158,청계8가.영도교,37.5709465,127.0182311
SEB100000159,원남동사거리,37.5757228,126.9982146
SEB100000165,숭인동,37.5742721,127.0204373
SEB100000169,조계사,37.5728003,126.9831609
SEB100000174,세종문화회관,37.5739496,126.9768672
SEB100000179,이화동(이화장),37.576257,127.002955
SEB100000180,상명대정문,37.6016197,126.9550207
SEB100000181,이북오도청,37.6130503,126.9558882
SEB100000188,상명대입구.세검정교회,37.5994435,126.9597921
SEB100000189,상명대입구.석파랑,37.5995718,126.9581941
SEB100000190,종로중부새마을금고,37.5724174,127.0065911
SEB100000191,신설동로터리.신한은행앞.서울풍물시장,37.574386,127.0231182
SEB100000192,청계2가.삼일교,37.5684458,126.9872214
SEB100000193,청계8가.황학교,37.5721307,127.022787
SEB100000329,광화문,37.570326,126.9738331
SEB100000330,종로1가,37.57037,126.980129
SEB100000333,종로2가,37.5699685,126.9855751
SEB100000334,종로3가,37.5705896,126.9931553
SEB100000335,종로3가,37.5701024,126.9909932
SEB100000336,종로4가,37.5704208,126.9968799
SEB100000338,동대문종합시장종로6가,37.570792,127.003206
SEB100000343,경복궁역,37.576178,126.9715056
SEB100000344,경복궁역,37.5757554,126.9713156
SEB100000345,안국역,37.5766137,126.9852296
SEB100000346,안국역,37.5763185,126.9855059
SEB100000347,창덕궁,37.5775279,126.9887919
SEB100000348,성대입구,37.5835875,126.9997033
SEB100000355,평창동삼성아파트,37.6111136,126.9787596
SEB100000360,창경궁.고궁호텔.메이플레이스호텔,37.5765581,126.9974492
SEB100000362,영천시장,37.5696103,126.9630063
SEB100000363,영천시장,37.5699391,126.9625329
