상세영업상태명	도로명주소	사업장명	업태구분명	좌표정보(X)	좌표정보(Y)	위도	경도
영업	서울특별시 중구 한강대로 416 지하1층 3호 (남대문로5가)	(주)레드애플 서울스퀘어점	커피숍	197620.6764	450361.5061	37.55552189	126.9709706
영업	서울특별시 중구 다산로42다길 54 1층 (신당동)	코이트	커피숍	201507.9034	451092.9634	37.56211435	127.0149647
영업	서울특별시 중구 을지로 66 1층 (을지로2가)	커피빈 하나금융명동사옥점	커피숍	198611.2399	451473.2483	37.56554066	126.9821788
영업	서울특별시 중구 세종대로21길 67 1층 (태평로1가)	커피기업 세종로점	커피숍	197786.1614	451886.5742	37.56926301	126.9728387
영업	서울특별시 중구 다산로36가길 16 1층 (신당동)	씨유 파크힐링점	편의점	201651.6722	450978.9877	37.5610872	127.0165917
영업	서울특별시 중구 남대문로 81 b1층 (소공동)	강할모니	기타 휴게음식점	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 퇴계로 33 서울로7017편의시설 1층 (남대문로5가)	케이스팟 수국전망대 카페	커피숍	197487.5411	450505.9457	37.55682291	126.9694633
영업	서울특별시 중구 소공로 63 지하1층 (충무로1가)	욜로	기타 휴게음식점	198263.9084	450960.763	37.56092261	126.9782487
영업	서울특별시 중구 칠패로 27 1층 112호 (순화동)	지에스(GS)25 라마다호텔점	편의점	197462.1988	450878.2118	37.56017692	126.9691752
영업	서울특별시 중구 다산로46길 17 (흥인동 1층 112호)	신당제니스점 (GS25)	커피숍	201442.039	451619.8455	37.5668616	127.0142203
영업	서울특별시 중구 퇴계로18길 6 1층 (남산동1가)	세븐일레븐 명동역점	편의점	198643.0494	450915.5349	37.56051577	126.98254
영업	서울특별시 중구 장충단로13길 20 지하1층 (을지로6가)	밤부 베이커리앤브루잉 동대문	커피숍	200613.5103	451817.5154	37.56864345	127.0048423
영업	서울특별시 중구 남대문로 81 지하1층 (소공동)	더파이샵 롯데백화점 본점	백화점	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 다산로 32 상가2동 307호 (신당동 남산타운)	메이	커피숍	200750.4551	449638.8243	37.54901357	127.0063904
영업	서울특별시 중구 칠패로 27 지하1층 118호 (순화동 순화동더?	CAFE ROUM	커피숍	197462.1988	450878.2118	37.56017692	126.9691752
영업	서울특별시 중구 장충단로 275 B2층 FB115호 (을지로6가)	젤라또로플	커피숍	200703.6256	451836.4583	37.56881406	127.0058624
영업	서울특별시 중구 칠패로 27 110호 (순화동)	커피기업 순화동더?점	커피숍	197462.1988	450878.2118	37.56017692	126.9691752
영업	서울특별시 중구 세종대로 136 지하2층 216호 (태평로1가)	트?젤 SFC점	커피숍	197963.7892	451793.817	37.5684277	126.9748496
영업	서울특별시 중구 세종대로 136 지하1층 (태평로1가)	아맘픽.광화문	커피숍	197963.7892	451793.817	37.5684277	126.9748496
영업	서울특별시 중구 퇴계로50길 12-1 1층 (묵정동)	비비엘 베이글(BBL BAGEL)	커피숍	200011.2826	451092.1175	37.56210786	126.9980256
영업	서울특별시 중구 퇴계로83길 30-14 1층 (황학동)	로투스랩(LOTUSLAB)	커피숍	201593.4278	451635.8651	37.56700569	127.0159339
영업	서울특별시 중구 남대문로1길 46 1층 (북창동)	카페라?유?	커피숍	197947.6745	451208.4304	37.56315339	126.9746688
