단지명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,위도,경도
남산트라팰리스,116.11,202201,10,"20,000",450,24,37.5539946799726,126.975612746457
남산트라팰리스,116.11,202201,21,"1,000",347,26,37.5539946799726,126.975612746457
남산트라팰리스,148.47,202201,28,0,675,31,37.5539946799726,126.975612746457
남산트라팰리스,126.78,202204,13,0,500,6,37.5539946799726,126.975612746457
남산트라팰리스,116.11,202208,10,0,493,22,37.5539946799726,126.975612746457
남산트라팰리스,148.47,202208,16,0,700,24,37.5539946799726,126.975612746457
남산트라팰리스,148.47,202208,16,0,700,24,37.5539946799726,126.975612746457
남산트라팰리스,116.11,202208,26,                        ,140,10,37.5539946799726,126.975612746457
남산트라팰리스,126.78,202209,12,"94,500",63,19,37.5539946799726,126.975612746457
남산트라팰리스,142.23,202209,23,"10,000",650,19,37.5539946799726,126.975612746457
남산트라팰리스,126.78,202211,18,    ,550,21,37.5539946799726,126.975612746457
남산트라팰리스,126.78,202211,18,"10,000",550,21,37.5539946799726,126.975612746457
남산트라팰리스,126.78,202211,18,"10,000",550,21,37.5539946799726,126.975612746457
경서,37.69,202202,10,"4,000",60,6,37.5567624150086,126.977690649242
경서,35.85,202203,10,"2,000",50,5,37.5567624150086,126.977690649242
경서,35.85,202208,18,"1,000",50,2,37.5567624150086,126.977690649242
경서,29.7,202209,1,0,50,6,37.5567624150086,126.977690649242
경서,35.85,202209,4,"1,000",50,2,37.5567624150086,126.977690649242
LIG서울역리가,84.9846,202201,15,"50,000",75,7,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202202,9,"60,000",80,4,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202203,2,"40,000",81,12,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202203,11,"30,000",160,8,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,9,"30,000",170,13,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,9,"30,000",170,13,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,9,"30,000",170,13,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,9,"30,000",170,13,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,11,"65,000",60,14,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,11,"65,000",60,14,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,13,"6,000",200,8,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202205,21,"56,500",35,3,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202207,18,"5,000",317,2,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202209,17,"7,000",300,4,37.5562729792512,126.966882959987
LIG서울역리가,84.9866,202211,19,"65,000",20,5,37.5562729792512,126.966882959987
대우디오빌,73.86,202201,24,"10,000",140,10,37.5550198699539,126.967199040035
대우디오빌,73.86,202203,11,"30,000",100,13,37.5550198699539,126.967199040035
대우디오빌,73.86,202208,21,"5,000",180,10,37.5550198699539,126.967199040035
서울역센트럴자이,84.9791,202201,4,"64,000",100,9,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202201,11,"50,000",170,18,37.5547800420518,126.964458224138
서울역센트럴자이,59.9707,202201,13,"20,000",240,10,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202201,17,"1,000",60,12,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202201,19,"5,000",50,13,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202201,24,"40,000",150,13,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202201,24,"40,000",150,13,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202201,27,"5,000",250,8,37.5547800420518,126.964458224138
서울역센트럴자이,59.9808,202201,27,"50,000",120,8,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202201,29,"40,000",100,2,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202202,18,"70,000",30,12,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202202,18,"10,000",232,12,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202202,19,"10,000",340,24,37.5547800420518,126.964458224138
서울역센트럴자이,59.9707,202202,24,"47,000",55,3,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202202,26,"10,000",270,17,37.5547800420518,126.964458224138
서울역센트럴자이,72.9965,202202,28,"50,000",100,6,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202203,1,"20,000",170,4,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202203,13,"5,000",184,9,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202203,18,"30,000",170,3,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202203,19,"30,000",150,23,37.5547800420518,126.964458224138
서울역센트럴자이,72.9733,202203,20,"45,000",150,11,37.5547800420518,126.964458224138
서울역센트럴자이,72.9733,202203,20,"45,000",150,11,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202203,21,"20,000",250,4,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202203,22,"5,000",270,4,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202203,26,"60,000",80,9,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202204,9,"10,000",250,17,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202204,13,"1,500",360,24,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202204,22,"5,000",210,16,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202204,23,"60,000",70,8,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202204,23,"45,000",175,2,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202205,11,"10,000",350,8,37.5547800420518,126.964458224138
서울역센트럴자이,72.9932,202205,14,"40,000",155,10,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202205,22,"5,000",270,9,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202205,22,"5,000",270,9,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202205,25,"20,000",250,20,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202205,30,"50,010",155,13,37.5547800420518,126.964458224138
서울역센트럴자이,84.9791,202206,4,"20,000",218,2,37.5547800420518,126.964458224138
서울역센트럴자이,84.9791,202206,4,"20,000",232,2,37.5547800420518,126.964458224138
서울역센트럴자이,72.8899,202206,18,"10,000",270,19,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202206,28,"5,000",235,12,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202206,29,"30,000",170,22,37.5547800420518,126.964458224138
서울역센트럴자이,59.9808,202207,4,"20,000",140,15,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202207,12,"5,000",280,2,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202207,14,"5,000",300,3,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202208,2,"59,850",35,25,37.5547800420518,126.964458224138
서울역센트럴자이,72.9733,202208,11,"30,000",200,9,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202208,13,"70,000",80,20,37.5547800420518,126.964458224138
서울역센트럴자이,59.9707,202208,17,"2,000",231,15,37.5547800420518,126.964458224138
서울역센트럴자이,84.9791,202208,20,"40,000",190,23,37.5547800420518,126.964458224138
서울역센트럴자이,84.9791,202208,20,"40,000",90,23,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202208,27,"80,000",50,3,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202208,31,"5,000",250,8,37.5547800420518,126.964458224138
서울역센트럴자이,72.9965,202209,1,"30,000",195,25,37.5547800420518,126.964458224138
서울역센트럴자이,72.9965,202209,3,"45,000",150,12,37.5547800420518,126.964458224138
서울역센트럴자이,72.9965,202209,3,"45,000",150,12,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202209,7,"44,000",68,20,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202209,8,"50,000",160,24,37.5547800420518,126.964458224138
서울역센트럴자이,84.9918,202209,16,"15,000",175,10,37.5547800420518,126.964458224138
서울역센트럴자이,72.9733,202209,17,"40,000",166,10,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202209,27,"30,000",110,12,37.5547800420518,126.964458224138
서울역센트럴자이,59.943,202210,3,"5,000",260,21,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202210,7,"10,000",320,18,37.5547800420518,126.964458224138
서울역센트럴자이,72.9965,202210,21,"10,000",260,9,37.5547800420518,126.964458224138
서울역센트럴자이,72.9733,202211,7,"10,000",300,16,37.5547800420518,126.964458224138
서울역센트럴자이,72.9733,202211,7,"10,000",300,16,37.5547800420518,126.964458224138
서울역센트럴자이,84.972,202211,9,"20,000",260,6,37.5547800420518,126.964458224138
서울역센트럴자이(임대),39.9541,202201,10,"5,077",15,-3,37.5545760844191,126.963956968884
서울역센트럴자이(임대),47.4739,202201,18,"4,127",18,2,37.5545760844191,126.963956968884
서울역센트럴자이(임대),39.9541,202205,23,"20,303",50,10,37.5545760844191,126.963956968884
서울역센트럴자이(임대),47.4739,202208,18,"4,127",18,12,37.5545760844191,126.963956968884
서울역센트럴자이(임대),39.9541,202209,14,"30,000",183,8,37.5545760844191,126.963956968884
서울역센트럴자이(임대),39.9541,202210,6,"50,000",100,5,37.5545760844191,126.963956968884
서울역한라비발디센트럴,71.9832,202201,8,"30,000",93,6,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202201,22,"5,000",200,12,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202201,25,"30,000",165,2,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9728,202201,26,"15,000",250,4,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202201,28,"10,000",280,8,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,4,"61,000",8,2,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,5,"68,600",35,3,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202202,7,"55,000",30,10,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,11,"60,000",65,11,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202202,11,"53,000",60,4,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202202,12,"40,000",76,5,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,12,"55,000",49,6,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,17,"30,000",130,8,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,22,"10,000",195,12,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,26,"45,000",100,4,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202203,5,"4,000",135,10,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202203,28,"72,000",9,5,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202204,22,"5,000",240,9,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202204,30,"15,000",180,11,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202205,1,"65,000",70,13,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202206,11,"5,000",240,8,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202208,26,"5,000",200,14,37.5545735828657,126.965847056196
묵정,52.46,202202,17,"5,000",80,7,37.5607074663453,127.000060665185
묵정,52.46,202202,19,"3,000",90,3,37.5607074663453,127.000060665185
묵정,52.46,202203,2,"2,000",80,1,37.5607074663453,127.000060665185
묵정,52.46,202204,2,"3,000",90,4,37.5607074663453,127.000060665185
묵정,52.46,202206,17,"1,000",110,9,37.5607074663453,127.000060665185
