상호,주소,위도,경도
대사관앞환전(주),서울특별시 중구 명동2길 26 ,37.5621072,126.982687
을지환전,서울특별시 중구 을지로44길 14 ,37.5654071,127.0065184
금륜,서울특별시 중구 세종대로21길 55 ,37.5676145,126.9757627
플러스환전,서울특별시 중구 명동10길 7-4 ,37.5633151,126.9853605
명동로얄환전소,서울특별시 중구 명동8나길 47 ,37.5612835,126.9831326
C&K환전,서울특별시 중구 을지로 230 ,37.566443750000005,127.00445785
유진에프엑스,서울특별시 중구 을지로 264 ,37.56569855,127.0070757897065
대경환전,서울특별시 중구 명동8가길 34 ,37.5617876,126.9866639
세화환전,서울특별시 중구 명동2길 8 ,37.5621072,126.982687
우리FX,서울특별시 중구 명동2길 26 ,37.5621072,126.982687
스타환전소,서울특별시 중구 을지로 252 을지로6가,37.5661427,127.0062977
큐환전,서울특별시 중구 퇴계로8길 8 1층,37.5565183,126.9794832
서울렉스호텔,서울특별시 중구 퇴계로10길 23 ,37.5586497,126.9806205
서울로얄호텔,서울특별시 중구 명동길 61 ,37.5638495,126.9851142
호텔PJ,서울특별시 중구 마른내로 71 ,37.5648163,126.995602
(주)서한사,서울특별시 중구 동호로 287 ,37.5525369,127.0124355
코리아나호텔,서울특별시 중구 세종대로 135 ,37.5682156,126.976628
뉴서울호텔,서울특별시 중구 세종대로22길 16 ,37.5681474,126.9779986
세종호텔,서울특별시 중구 퇴계로 145 ,37.56131605,126.98793750643863
프레지덴트호텔(백남관광),서울특별시 중구 을지로 16 ,37.5669828,126.99888987838348
퍼시픽호텔,서울특별시 중구 퇴계로20길 2 ,37.55967555,126.98542958080594
(유)뉴국제호텔,서울특별시 중구 세종대로22길 12 ,37.5681474,126.9779986
신라호텔,서울특별시 중구 동호로 249 ,37.5560002,127.0051694
주식회사 씨디엘호텔코리아,서울특별시 중구 소월로 50 ,37.5553929,126.97560748795905
(주)앰배스텔 이비스앰배서더명동,서울특별시 중구 남대문로 78 ,37.5643473,126.9829236
(주)국도관광개발,서울특별시 중구 을지로 164 ,37.56678025,126.99633822624901
한화호텔앤드리조트 (주),서울특별시 중구 소공로 119 ,37.5646228,126.97807527443322
신창기업(주) 알로프트서울명동,서울특별시 중구 남대문로 56 ,37.5621208,126.9819547
명동중앙환전,서울특별시 중구 명동8길 21-5 ,37.5619344,126.9844196
(주)코리아명동면세점대부,서울특별시 중구 명동3길 6,37.5649181,126.9834904
크라운파크호텔,서울특별시 중구 남대문로7길 19,37.5637679,126.9816538
주식회사 정든투어,서울특별시 중구 다동길 46,37.56782,126.98173661229148
한화커넥트 주식회사,서울특별시 중구 한강대로 405,37.5545547,126.9707793
주식회사 아이큐웰 명동센트럴지점,서울특별시 중구 명동9길 16,37.5649801,126.9844668
에이치피와이,서울특별시 중구 남대문로7길 11,37.5637679,126.9816538
주식회사 서울상역,서울특별시 중구 남대문로 34-1,37.5604945,126.9751716
알케이원호텔매니지먼트,서울특별시 중구 세종대로16길 22,37.56303595,126.97804526656786
나인트리 호텔 동대문,서울특별시 중구 을지로 224,37.565877,126.9802901
EXCHANGE BANK,서울특별시 중구 남대문로9길 40,37.56705885,126.98027125992925
오티씨스톤글로벌,서울특별시 중구 을지로 250,37.565877,126.9802901
주식회사 머니박스 명동지점,서울특별시 중구 남대문로 52-1,37.5604407,126.9759197
글로벌머니익스프레스 CIS지점,서울특별시 중구 을지로42길 6,37.5654709,127.0056997
정광개발 주식회사,서울특별시 중구 동호로 354,37.5525369,127.0124355
에이치에이치에이치코리아 주식회사,서울특별시 중구 명동8가길 59,37.5617876,126.9866639
계산산업호텔유파이브,서울특별시 중구 동호로 369,37.5672497,127.0019874
씨티페이주식회사,서울특별시 중구 남대문로 52-13,37.5604407,126.9759197
케이티에스테이트,서울특별시 중구 명동8나길 38,37.5612835,126.9831326
주식회사 머니박스 동대문지점,서울특별시 중구 장충단로 281,37.5601768,127.005621
준현사,서울특별시 중구 남대문로 36,37.5604407,126.9759197
코리아환전소,서울특별시 중구 명동2길 22,37.5646988,126.98437734150943
포인트,서울특별시 중구 을지로42길 11,37.5654709,127.0056997
새로나,서울특별시 중구 남대문로 30,37.5616508,126.9808301
국제환전,서울특별시 중구 남대문시장길 45-2,37.5606992,126.9800531
세원,서울특별시 중구 마장로 11,37.5679162,127.0126083
국제환전,서울특별시 중구 을지로44길 13,37.5654071,127.0065184
세븐환전,서울특별시 중구 장충단로 221,37.5601768,127.005621
에이스환전,서울특별시 중구 남대문시장길 45-8,37.5606992,126.9800531
회현환전,서울특별시 중구 남대문로 36,37.5604407,126.9759197
선일,서울특별시 중구 남대문로 36,37.5604407,126.9759197
남대문환전,서울특별시 중구 남대문시장4길 50,37.5589236,126.9764402
나이스 환전금융,서울특별시 중구 명동3길 17,37.5645192,126.9834123
제일환전,서울특별시 중구 소공로 58,37.5597632,126.982249
제일환전,서울특별시 중구 명동8가길 35,37.5617876,126.9866639
동대문환전,서울특별시 중구 청계천로 274,37.5679375,126.9876113
스타환전,서울특별시 중구 퇴계로 129,37.5596957,126.9809292
고려FX,서울특별시 중구 소공로 58,37.5597632,126.982249
신환전,서울특별시 중구 퇴계로73길 54-7,37.5665388,127.0139754
명동환전,서울특별시 중구 소공로 58,37.5597632,126.982249
월드환전,서울특별시 중구 소공로 58,37.5597632,126.982249
스마일환전,서울특별시 중구 퇴계로18길 6,37.5606428,126.9857103
OK환전,서울특별시 중구 장충단로13길 5,37.5676735,127.0084005
오성환전,서울특별시 중구 퇴계로73길 24,37.5665388,127.0139754
PANDA 파이낸셜,서울특별시 중구 소공로 58,37.5597632,126.982249
밀리오레환전소,서울특별시 중구 장충단로 263,37.5601768,127.005621
대신,서울특별시 중구 명동2길 26,37.5621072,126.982687
환전카페,서울특별시 중구 남대문로 52-13,37.5604407,126.9759197
남산환전,서울특별시 중구 퇴계로 38,37.5596957,126.9809292
긴자환전소,서울특별시 중구 남대문시장4길 21,37.5589236,126.9764402
민수네,서울특별시 중구 남대문로 36,37.5604407,126.9759197
한중환전소,서울특별시 중구 명동2길 43,37.5621072,126.982687
남산,서울특별시 중구 남대문시장2가길 12,37.5594786,126.977279
abc환전소,서울특별시 중구 다산로47길 28,37.5665972,127.0144838
명동 M환전소,서울특별시 중구 명동8길 27,37.5619344,126.9844196
미나미환전,서울특별시 중구 명동9길 21,37.5647611,126.98448187604433
ABC 환전,서울특별시 중구 남대문로 40,37.5604407,126.9759197
러시아환전,서울특별시 중구 마른내로 157,37.5643193,126.9973687
와이제이(YJ),서울특별시 중구 명동4길 25,37.5625879,126.9838611
88환전,서울특별시 중구 을지로44길 15-1,37.5654071,127.0065184
엠액스(MX)환전소,서울특별시 중구 명동2길 53,37.5625759,126.9840959
OK환전소,서울특별시 중구 명동8가길 6,37.5617876,126.9866639
FX.KOREA(에프엑스코리아),서울특별시 중구 명동9길 7,37.5649801,126.9844668
광희,서울특별시 중구 장충단로13길 20,37.5676735,127.0084005
골드환전소,서울특별시 중구 퇴계로75길 23,37.5660276,127.0157195
명동로사환전,서울특별시 중구 삼일대로 305,37.5589046,126.9918561
동경환전,서울특별시 중구 남대문시장4길 48,37.5589236,126.9764402
동경환전,서울특별시 중구 남대문로 76,37.5604407,126.9759197
체코환전,서울특별시 중구 장충단로 275,37.56866205,127.00871843983305
신세계환전소,서울특별시 중구 소공로 64,37.5597632,126.982249
동양환전,서울특별시 중구 소공로6길 24,37.5583786,126.9839095
그린환전소,서울특별시 중구 다산로47길 42,37.5665972,127.0144838
조이환전,서울특별시 중구 퇴계로8길 5,37.5565183,126.9794832
승리환전소,서울특별시 중구 퇴계로73길 54-43,37.5665388,127.0139754
엠엔엠환전,서울특별시 중구 소공로 66,37.5597632,126.982249
북경환전,서울특별시 중구 퇴계로 55-1,37.5611307,126.9886656
