시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,126.78,202201,4,"92,000",0,28,2010,소월로2길 30,202202~202402,갱신,-,"85,000",0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,116.11,202201,10,"20,000",450,24,2010,소월로2길 30,202201~202401,신규,-,0,0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,116.11,202201,21,"1,000",347,26,2010,소월로2길 30,202201~202401,갱신,사용,"1,000",330
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,148.47,202201,28,0,675,31,2010,소월로2길 30,202206~202405,갱신,-,0,570
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,116.11,202202,12,"99,700",0,9,2010,소월로2길 30,202203~202402,갱신,사용,"95,000",0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,148.47,202202,18,"110,250",0,8,2010,소월로2길 30,202202~202402,갱신,사용,"105,000",0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,142.23,202202,26,"130,000",0,12,2010,소월로2길 30,202203~202403,갱신,-,"110,000",0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,126.78,202204,13,0,500,6,2010,소월로2길 30,202206~202506,신규,-,0,0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,148.47,202206,10,"110,200",0,13,2010,소월로2길 30,202206~202406,갱신,사용,"105,000",0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,116.11,202208,8,"145,000",0,27,2010,소월로2길 30,202210~202402,신규,-,0,0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,116.11,202208,10,0,493,22,2010,소월로2길 30,202208~202308,갱신,-,0,470
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,148.47,202208,16,0,700,24,2010,소월로2길 30,202208~202408,신규,-,0,0
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,월세,148.47,202208,16,0,700,24,2010,소월로2길 30,-,-,-,,
서울특별시 중구 남대문로5가,827,827,0,남산트라팰리스,전세,148.47,202208,23,"160,000",0,30,2010,소월로2길 30,202209~202409,신규,-,0,0
